_id,userId,bitId,watchPercent,completedWatch,rewatched,replayCount,likedDuringWatch,sharedDuringWatch,addedToCart,watch_score,interaction_score,engagement_score
6a1b13af3724c07c530f2a28,698e6cbe2c63bfbc0476bfa7,6a070e151a9ba20ae97df094,21,False,False,0,False,False,False,8.4,10,18.4
6a1b13bc3724c07c530f2a29,698e6cbe2c63bfbc0476bfa7,6a130a9ba9955ce94395f998,30,False,False,0,False,False,False,12.0,10,22.0
6a1b13be3724c07c530f2a2a,698e6cbe2c63bfbc0476bfa7,6a095017b7bb9861659c7243,9,False,False,0,False,False,False,3.6,10,13.6
6a1b13bf3724c07c530f2a2b,698e6cbe2c63bfbc0476bfa7,6a0814ae1a9ba20ae97ee853,5,False,False,0,False,False,False,2.0,10,12.0
6a1b13c03724c07c530f2a7d,698e6cbe2c63bfbc0476bfa7,6a0810b51a9ba20ae97ebb91,4,False,False,0,False,False,False,1.6,10,11.6
6a1b13c03724c07c530f2a7e,698e6cbe2c63bfbc0476bfa7,6a0814ae1a9ba20ae97ee853,1,False,True,0,False,False,False,15.4,10,25.4
6a1b13c13724c07c530f2a7f,698e6cbe2c63bfbc0476bfa7,6a095017b7bb9861659c7243,1,False,True,0,False,False,False,15.4,10,25.4
6a1b13c13724c07c530f2a80,698e6cbe2c63bfbc0476bfa7,6a130a9ba9955ce94395f998,0,False,True,0,False,False,False,15.0,10,25.0
6a1b13c13724c07c530f2a81,698e6cbe2c63bfbc0476bfa7,6a070e151a9ba20ae97df094,1,False,True,0,False,False,False,15.4,10,25.4
6a1b13c13724c07c530f2a82,698e6cbe2c63bfbc0476bfa7,6a094fadb7bb9861659c71bb,1,False,True,0,False,False,False,15.4,10,25.4
6a1b13c23724c07c530f2a83,698e6cbe2c63bfbc0476bfa7,6a085a6c1a9ba20ae97fa263,0,False,True,0,False,False,False,15.0,10,25.0
6a1b13c23724c07c530f2a84,698e6cbe2c63bfbc0476bfa7,6a09796bb7bb9861659c83dd,1,False,True,0,False,False,False,15.4,10,25.4
6a1b13c23724c07c530f2a85,698e6cbe2c63bfbc0476bfa7,6a0c27f2cccd23326e8be29f,1,False,True,0,False,False,False,15.4,10,25.4
6a1b13c33724c07c530f2a86,698e6cbe2c63bfbc0476bfa7,6a1598534dfbf8e8d4fdb4c1,1,False,True,0,False,False,False,15.4,10,25.4
6a1b1b343724c07c530f2e7c,698e263e2c63bfbc0476857e,69b9a3d2d5ba7b8d34df6f90,6,False,False,0,True,False,False,2.4000000000000004,20,22.4
6a1b1b393724c07c530f2e7e,698e263e2c63bfbc0476857e,69b517aff10cd924f53e68b3,12,False,True,0,True,False,False,19.8,20,39.8
6a1b1b3d3724c07c530f2e7f,698e263e2c63bfbc0476857e,69a69a9d0a0ce3fd3a6cae83,13,False,True,0,False,False,False,20.2,10,30.2
6a1b1b3e3724c07c530f2e81,698e263e2c63bfbc0476857e,69b99950d5ba7b8d34df55f8,4,False,False,0,False,False,False,1.6,10,11.6
6a1b1b403724c07c530f2e82,698e263e2c63bfbc0476857e,69e73c9ee9d9e96620249058,5,False,True,0,True,False,False,17.0,20,37.0
6a1b1b433724c07c530f2e84,698e263e2c63bfbc0476857e,69b99fbed5ba7b8d34df68c7,12,False,True,0,False,False,False,19.8,10,29.8
6a1b1b453724c07c530f2e85,698e263e2c63bfbc0476857e,69ece24543cd9b163f98247f,10,False,False,0,False,False,False,4.0,10,14.0
6a1b1b473724c07c530f2e8a,698e263e2c63bfbc0476857e,69b99b08d5ba7b8d34df5cb3,6,False,True,0,False,False,False,17.4,10,27.4
6a1b1b493724c07c530f2f6c,698e263e2c63bfbc0476857e,69f8fb9568f7e97ef441c429,10,False,True,0,False,False,False,19.0,10,29.0
6a1b1b4b3724c07c530f2f6d,698e263e2c63bfbc0476857e,69b99c44d5ba7b8d34df60eb,11,False,False,0,False,False,False,4.4,10,14.4
6a1b1b503724c07c530f2f6e,698e263e2c63bfbc0476857e,6a0efe70c5a9d08fea4c67cf,11,False,True,0,False,False,False,19.4,10,29.4
6a1b1b523724c07c530f2f6f,698e263e2c63bfbc0476857e,6a101a44a9955ce94394ce5d,6,False,True,0,False,False,False,17.4,10,27.4
6a1b1b573724c07c530f2f70,698e263e2c63bfbc0476857e,6a108c54a9955ce94394fb1e,15,False,True,0,False,False,False,21.0,10,31.0
6a1b1b593724c07c530f2f71,698e263e2c63bfbc0476857e,6a0c67bed4f03db64a78af0b,14,False,True,0,False,False,False,20.6,10,30.6
6a1b1b5b3724c07c530f2f72,698e263e2c63bfbc0476857e,6a0b4336d382a23d66b4511e,4,False,False,0,False,False,False,1.6,10,11.6
6a1b1b5c3724c07c530f2f73,698e263e2c63bfbc0476857e,6a06c0a21a9ba20ae97ce604,2,False,True,0,False,False,False,15.8,10,25.8
6a1b1b5d3724c07c530f2f74,698e263e2c63bfbc0476857e,6a097fdfb7bb9861659c9a20,2,False,False,0,False,False,False,0.8,10,10.8
6a1b1b5e3724c07c530f2f75,698e263e2c63bfbc0476857e,6a0810b51a9ba20ae97ebb91,42,False,True,0,False,False,False,31.8,10,41.8
6a1b1b603724c07c530f2f76,698e263e2c63bfbc0476857e,69b99b08d5ba7b8d34df5cb3,25,False,True,0,False,False,False,25.0,10,35.0
6a1b1b613724c07c530f2f77,698e263e2c63bfbc0476857e,6a06c0a21a9ba20ae97ce604,2,False,True,0,False,False,False,15.8,10,25.8
6a1b1b633724c07c530f2f78,698e263e2c63bfbc0476857e,6a0febf65ecfbb647dcf6c6f,7,False,False,0,False,False,False,2.8000000000000003,10,12.8
6a1b1b633724c07c530f2f79,698e263e2c63bfbc0476857e,6a0810b51a9ba20ae97ebb91,11,False,True,0,False,False,False,19.4,10,29.4
6a1b1b6a3724c07c530f2f7a,698e263e2c63bfbc0476857e,6a0c158bb10aa6108036df86,14,False,True,0,False,False,False,20.6,10,30.6
6a1b1b6b3724c07c530f2f7b,698e263e2c63bfbc0476857e,6a130b7ea9955ce94395f9c6,3,False,True,0,False,False,False,16.2,10,26.2
6a1b1bfe3724c07c530f3113,698e263e2c63bfbc0476857e,6a0c5c48d4f03db64a78945a,58,False,True,0,False,False,False,38.2,10,48.2
