_id,userId,bitId,watchedMs,totalDurationMs,watchPercent,completedWatch,rewatched,replayCount,pauseCount,soundOn,tappedProduct,scrolledToProduct,addedToCart,likedDuringWatch,sharedDuringWatch,source,deviceType,timestamp,__v
{'$oid': '6a114a94a9955ce943957feb'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a101a44a9955ce94394ce5d'},1201,30300,4,False,True,0,0,True,{'$oid': '6a101a44a9955ce94394ce5d'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:00.309Z'},0
{'$oid': '6a114a95a9955ce94395800e'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0febf65ecfbb647dcf6c6f'},753,53866,1,False,True,0,0,True,{'$oid': '6a0febf65ecfbb647dcf6c6f'},False,False,True,False,recommendation,ios,{'$date': '2026-05-23T06:35:01.33Z'},0
{'$oid': '6a114a96a9955ce943958032'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0efe70c5a9d08fea4c67cf'},773,31517,2,False,True,0,0,True,{'$oid': '6a0efe70c5a9d08fea4c67cf'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:02.396Z'},0
{'$oid': '6a114a97a9955ce943958053'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0efbb6c5a9d08fea4c6025'},595,81133,1,False,True,0,0,True,{'$oid': '6a0efbb6c5a9d08fea4c6025'},False,False,True,False,recommendation,ios,{'$date': '2026-05-23T06:35:03.257Z'},0
{'$oid': '6a114a98a9955ce94395808b'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0eee72ed25ae0d7deabbfc'},543,53960,1,False,True,0,0,True,{'$oid': '6a0eee72ed25ae0d7deabbfc'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:04.968Z'},0
{'$oid': '6a114a99a9955ce9439580a8'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0edae6ed25ae0d7deab2c8'},698,31484,2,False,True,0,0,True,{'$oid': '6a0edae6ed25ae0d7deab2c8'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:05.703Z'},0
{'$oid': '6a114a9ba9955ce9439580da'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0d458cd4f03db64a78fefc'},446,35200,1,False,True,0,0,True,{'$oid': '6a0d458cd4f03db64a78fefc'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:07.007Z'},0
{'$oid': '6a114a9ca9955ce9439580fc'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c67bed4f03db64a78af0b'},739,15633,5,False,True,0,0,True,{'$oid': '6a0c67bed4f03db64a78af0b'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:08.012Z'},0
{'$oid': '6a114a9da9955ce943958121'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c5c48d4f03db64a78945a'},901,15000,6,False,True,0,0,True,{'$oid': '6a0c5c48d4f03db64a78945a'},False,False,True,False,recommendation,ios,{'$date': '2026-05-23T06:35:09.206Z'},0
{'$oid': '6a114a9ea9955ce943958145'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c58c8d4f03db64a788ccd'},753,36033,2,False,True,0,0,True,{'$oid': '6a0c58c8d4f03db64a788ccd'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:10.206Z'},0
